BreedName,AltBreedName,Group1,Group2,MaleWtKg,Temperment,Watchdog,Type of home required ,Barking ability,Kid friendly,Eating habits,Independence ,activity level,Shedding,BreedName
Chow Chow,Chow,Non Sporting,Northern,26,"Aloof, Independent, Loyal, Quiet, Intelligent, Protective, Detached",no,,,,,,,,Chow Chow
Cirneco dell'Etna,,Hound,Sight,11,"Affectionate, Gentle, Lively",no,,,,,,,,Cirneco dell'Etna
Clumber Spaniel,Clumber,Sporting,Gun,32,"Gentle, Loyal, Affectionate, Dignified, Aloof",no,,,,,,,,Clumber Spaniel
Cockapoo,,Sporting,Gun,8,"Affectionate, Alert, Cheerful, Friendly, Intelligent, Loving, Loyal, Outgoing, Playful, Responsive, Social",no,,,,,,,,Cockapoo
Cocker Spaniel,,Sporting,Gun,10,"Even Tempered, Joyful, Merry, Outgoing, Intelligent, Sociable, Trusting",no,,,,,,,,Cocker Spaniel
Collie,,Herding,Herding,31,"Friendly, Gentle, Intelligent, Loyal, Protective, Responsive, Social",yes,,,,,,,,Collie
Coonhound,,Hound,Scenthound,55,"Adaptable, Easygoing, Even-tempered, Gentle, Lovable, Trusting, Intelligent",no,,,,,,,,Coonhound
Corgi,,Herding,Herding,13,"Active, Affectionate, Alert, Companionable, Devoted, Gentle, Intelligent",yes,,,,,,,,Corgi
Coton de Tulear,,Non Sporting,Companion,6,"Affectionate, Intelligent, Lively, Playful, Trainable, Vocal",no,,,,,,,,Coton de Tulear
Curly-Coated Retriever,,Sporting,Gun,34,"Clever, Independent, Intelligent, Lively, Sensitive, Trainable",no,,,,,,,,Curly-Coated Retriever
Dachshund,,Hound,Scenthound,7,"Clever, Courageous, Devoted, Lively, Playful, Stubborn",no,,,,,,,,Dachshund
Dalmatian,,Non Sporting,Companion,25,"Active, Energetic, Friendly, Intelligent, Outgoing, Playful, Sensitive",no,,,,,,,,Dalmatian
Dandi Dinmont Terrier,Dandie Dinmont,Terrier,Terrier,10,"Affectionate, Companionable, Determined, Fun-loving, Independent, Lively, Intelligent",no,,,,,,,,Dandi Dinmont Terrier
Dhole,,,,18,Wild,,,,,,,,,Dhole
Dingo,,,,16,Wild,,,,,,,,,Dingo
Doberman Pinscher,Doberman,Working,Guardian,43,"Alert, Energetic, Fearless, Intelligent, Loyal, Obedient",yes,,,,,,,,Doberman Pinscher
Dogo Argentino,,Working,Guardian,43,"Affectionate, Cheerful, Friendly, Loyal, Protective, Tolerant, Social",yes,,,,,,,,Dogo Argentino
Dogue de Bordeaux,,Working,Guardian,60,"Companionable, Courageous, Devoted, Even-tempered, Loyal, Vigiliant",yes,,,,,,,,Dogue de Bordeaux
Dutch Shepherd,,Herding,Herding,28,"Affectionate, Alert, Loyal, Obedient, Reliable, Trainable",yes,,,,,,,,Dutch Shepherd
English Bulldog,,Non Sporting,Companion,25,"Aggressive, Courageous, Friendly, Loving, Social, Sweet",no,,,,,,,,English Bulldog
English Cocker Spaniel,,Sporting,Gun,14,"Affectionate, Faithful, Friendly, Intelligent, Playful, Quiet, Trainable",yes,,,,,,,,English Cocker Spaniel
English Coonhound,,Hound,Scenthound,26,"Active, Energetic, High-strung, Loyal",yes,,,,,,,,English Coonhound
English Pointer,,Sporting,Gun,25,"Active, Affectionate, Amiable, Even-tempered, Kind, Loyal, Intelligent",yes,,,,,,,,English Pointer
English Setter,,Sporting,Gun,30,"Strong-willed, Mischevious, Gentle, Energetic, Intelligent",no,,,,,,,,English Setter
