BreedName,Group1,Group2,WtKg,Country,Maintainence cost per month,Temperment,Watchdog,Type of home required ,Barking ability,Kid friendly,Diet,Independence ,activity level,Shedding,Weather,hypoallergenic
Kombai,Hunting,Guardian,25 kg,India,2000 Rs - 3000 Rs,"Aggressive, Savage",,Ranch,High,Yes,Meat rich,Very independent,High,Low,Hot,No
Lhasa Apso,Non Sporting,Companion,6 kg,India,4000 Rs - 5000 Rs,"Alert, Assertive, Devoted, Friendly, Intelligent, Lively, Obedient, Playful, Spirited, Steady",No,Apartment ,High,Yes,Doen't require meat,Very independent,High,Seasonal,Warm,Yes
Maltese,Toy,Companion,4 kg,India,2000 Rs - 3000 Rs,"Active, Docile, Easygoing, Gentle, Intelligent, Playful, Responsive, Sweet tempered",No,Apartment ,Low,No,Doen't require meat,Not independent,Medium,Low,Warm,Yes
Mudhol Hound,Hunting,Guardian,25 kg,India,2000 Rs - 3000 Rs,"Loyal, Graceful, Courageous, Elegant",Yes,Ranch,High,No,Meat rich,Very independent,High,Low,Hot,No
Neapolitan Mastiff,Working,Guardian,60 kg,India,5000 Rs - 7000 Rs,"Protective, Dominant, Fearless, Obedient, Stubborn, Trainable",Yes,Ranch,Low,Yes,Meat rich,Not independent,Medium,Seasonal,Warm,No
Newfoundland Dog,Working,Guardian,65 kg,India,7000 Rs - 10000 Rs,"Cheerful, Courageous, Intelligent, Loyal, Social, Sweet, Gentle",Yes,Ranch,High,Yes,Meat rich,Not independent,Medium,Frequent,Cold,No
Pekingese,Toy,Companion,4 kg,India,5000 Rs - 7000 Rs,"Affectionate, Aggressive, Good-natured, Intelligent, Opinionated, Stubborn",No,Apartment ,High,No,Doen't require meat,Moderate,Low,Frequent,Cold,No
Pit Bull Terrier,Terrier,Terrier,23 kg,India,2000 Rs - 3000 Rs,"Affectionate, Aggressive, CLownish, Courageous, Friendly, Intelligent, Loyal, Obedient, Strong willed, Stubborn",No,Independent house,Moderate,Yes,Meat rich,Not independent,High,Frequent,Warm,No
Pomeranian,Toy,Companion,3 kg,India,2000 Rs - 3000 Rs,"Active, Extroverted, Friendly, Intelligent, Lively, Playful, Sociable",No,Apartment ,High,No,Doen't require meat,Not independent,Medium,Frequent,Cold,No
Poodle,Non Sporting,Gun,26 kg,India,4000 Rs - 5000 Rs,"Active, Alert, Faithful, Instinctual, Intelligent, Trainable",Yes,Apartment ,Low,Yes,Doen't require meat,Not independent,High,Low,Warm,Yes
Portuguese Water Dog,Working,Gun,22 kg,India,4000 Rs - 5000 Rs,"Brave, Docile, Impetuous, Intelligent, Obedient, Quarrelsome",Yes,Apartment ,Moderate,Yes,Doen't require meat,Not independent,High,Low,Cold,Yes
